#1
double csv(8751,9)
# time	TSet	fanRet	fanSup	bypass	converged	TLiving	TMin	QHea
5407200	291.341970607	0.0233478669859	0.0233478669859	0	1	291.711154947	289.15	0.00294791575837
5410800	291.184591226	0.0233470550955	0.0233470550955	0	1	291.574117938	289.15	0.00299584019872
5414400	291.007039417	0.0233467886131	0.0233467886131	0	1	291.416552907	289.15	0.00300876191761
5418000	324.885679549	0.0233388909655	0.0233388909655	0	1	291.242327239	289.15	29999.9969912
5421600	315.757545969	0.0233405325074	0.0233405325074	0	1	294.474498194	294.15	0.000599353657871
5425200	314.086033948	0.0233404643355	0.0233404643355	0	1	294.039398548	294.15	2419.62502676
5428800	312.978342577	0.0233403160502	0.0233403160502	0	1	293.980476865	294.15	2733.68243085
5432400	312.274704301	0.0233404574355	0.0233404574355	0	1	293.928130832	294.15	2007.20690155
5436000	311.797292454	0.0233390011318	0.0233390011318	0	1	293.888919044	294.15	1934.25939455
5439600	294.938970501	0.0233472887427	0.0233472887427	0	1	293.857160299	289.15	0.000734683677863
5443200	292.392337986	0.0233483791794	0.0233483791794	0	1	292.469115618	289.15	0.00219985540917
5446800	291.588535587	0.0233468370847	0.0233468370847	0	1	291.88829442	289.15	0.00281552126813
5450400	291.193120997	0.0233483628246	0.0233483628246	0	1	291.530585455	289.15	0.00300861864573
5454000	290.914274142	0.0233469596637	0.0233469596637	0	1	291.263838947	289.15	0.00300876191984
5457600	290.679728653	0.0233470605244	0.0233470605244	0	1	291.042492455	289.15	0.00300876191984
5461200	290.469095171	0.023345891858	0.023345891858	0	1	290.848281097	289.15	0.00300876191984
5464800	330.150926954	0.023339740071	0.023339740071	0	1	290.669946463	289.15	29999.9969912
5468400	317.170414146	0.0233399880317	0.0233399880317	0	1	294.503115605	294.15	0.000581155299805
5472000	313.30806809	0.0233390680494	0.0233390680494	0	1	294.058978853	294.15	1217.75203083
5475600	295.115809484	0.023932801428	0.023932801428	0	1	293.959775638	289.15	0.000779282285857
5479200	292.496692377	0.0240601344952	0.0240601344952	0	1	292.644882376	289.15	0.00206693823157
5482800	291.829401304	0.023347811186	0.023347811186	0	1	292.246417212	289.15	0.00256729383843
5486400	291.607482944	0.0233476084854	0.0233476084854	0	1	292.074728728	289.15	0.00272012045967
5490000	291.491178802	0.0233471196671	0.0233471196671	0	1	292.000815752	289.15	0.00278985674066
5493600	291.3825247	0.0233466640485	0.0233466640485	0	1	291.938283114	289.15	0.00284259843589
5497200	291.248228692	0.0233466794397	0.0233466794397	0	1	291.823792656	289.15	0.00290415784783
5500800	291.081005589	0.0233459268881	0.0233459268881	0	1	291.650531792	289.15	0.0029573936037
5504400	323.236412803	0.0233408182179	0.0233408182179	0	1	291.463079295	289.15	29999.9970037
5508000	314.698874329	0.0233408137009	0.0233408137009	0	1	294.505617907	294.15	0.000584630388264
5511600	313.136010532	0.0233408081783	0.0233408081783	0	1	294.081572975	294.15	2535.72697954
5515200	312.106013029	0.023340683901	0.023340683901	0	1	294.013507174	294.15	1802.94869852
5518800	311.501389692	0.0233406093322	0.0233406093322	0	1	293.953879265	294.15	1621.46285973
5522400	311.094115773	0.0233394655722	0.0233394655722	0	1	293.909945727	294.15	1685.120358
5526000	294.90690479	0.0233458334794	0.0233458334794	0	1	293.870703359	289.15	0.000723755925113
5529600	292.412784915	0.0233461302815	0.0233461302815	0	1	292.530263104	289.15	0.00209373826683
