#1
#C1: time (Europe/Berlin)[s] from 2023-04-18T00:00:00+0200 to 2023-04-28T00:00:00+0200
#C2: outside temperature
double ROF_outside_temp_2023(961,2)
0	8.1
900	8.1
288900		10.699999999999998
289800		11.0
290700		11.299999999999999
291600		11.6
292500		11.966666666666667
293400		12.4
294300		12.799999999999999
295200		13.233333333333333
296100		13.766666666666666
297000		14.166666666666666
297900		14.666666666666666
298800		15.166666666666666
299700		15.633333333333335
300600		16.133333333333336
301500		16.566666666666666
302400		17.03333333333333
303300		17.400000000000002
304200		17.76666666666667
305100		18.166666666666668
306000		18.433333333333334
306900		18.633333333333336
307800		18.866666666666667
308700		19.033333333333335
309600		19.2
310500		19.400000000000002
311400		19.6
312300		19.76666666666667
313200		19.866666666666664
314100		19.7
315000		19.866666666666667
315900		20.0
316800		19.933333333333334
317700		20.025
318600		20.1
319500		20.0
320400		20.0
321300		19.9
322200		19.833333333333332
323100		19.766666666666666
324000		19.633333333333333
324900		19.466666666666665
325800		19.333333333333332
326700		19.2
327600		19.0
328500		18.8
329400		18.566666666666666
330300		18.3
331200		18.0
332100		17.7
333000		17.400000000000002
333900		17.2
334800		16.900000000000002
335700		16.666666666666668
336600		16.400000000000002
337500		16.266666666666666
338400		16.066666666666666
339300		15.933333333333332
340200		15.800000000000002
341100		15.633333333333333
342000		15.466666666666667
342900		15.266666666666666
343800		15.133333333333333
344700		14.933333333333332
345600		14.733333333333334
346500		14.533333333333333
347400		14.333333333333334
348300		14.166666666666666
349200		13.966666666666667
350100		13.833333333333334
351000		13.7
351900		13.566666666666668
352800		13.433333333333332
353700		13.266666666666666
354600		13.133333333333333
355500		12.966666666666667
356400		12.833333333333334
357300		12.666666666666666
358200		12.566666666666668
359100		12.433333333333332
360000		12.333333333333334
360900		12.199999999999998
361800		12.133333333333333
362700		12.033333333333333
363600		11.933333333333332
364500		11.766666666666666
365400		11.633333333333333
366300		11.466666666666667
367200		11.333333333333334
368100		11.233333333333334
369000		11.133333333333333
369900		11.0
370800		11.0
371700		11.0
372600		11.1
373500		11.266666666666666
374400		11.366666666666667
375300		11.6
376200		11.833333333333334
377100		12.033333333333333
378000		12.299999999999999
378900		12.733333333333333
379800		13.166666666666666
380700		13.633333333333335
381600		14.133333333333335
382500		14.700000000000001
383400		15.2
384300		15.8
385200		16.35
386100		16.8
387000		17.26666666666667
387900		17.8
388800		18.3
389700		18.76666666666667
390600		19.233333333333334
391500		19.666666666666668
392400		20.0
393300		20.3
394200		20.599999999999998
395100		20.866666666666667
396000		21.099999999999998
396900		21.233333333333334
397800		21.433333333333334
398700		21.7
399600		21.833333333333332
400500		22.0
401400		22.03333333333333
402300		22.166666666666668
403200		22.3
404100		22.3
405000		22.366666666666664
405900		22.5
406800		22.600000000000005
407700		22.666666666666668
408600		22.566666666666666
409500		22.433333333333334
410400		22.266666666666666
411300		22.066666666666666
412200		21.866666666666664
413100		21.7
414000		21.433333333333334
414900		21.2
415800		20.900000000000002
416700		20.599999999999998
417600		20.3
418500		20.0
419400		19.7
420300		19.400000000000002
421200		19.2
422100		19.05
423000		18.8
423900		18.533333333333335
424800		18.3
425700		18.133333333333333
426600		17.966666666666665
427500		17.9
428400		17.8
429300		17.733333333333334
430200		17.599999999999998
431100		17.433333333333334
432000		17.333333333333332
432900		17.233333333333334
433800		17.1
434700		17.033333333333335
435600		16.866666666666664
436500		16.7
437400		16.533333333333335
438300		16.333333333333332
439200		16.166666666666668
440100		16.0
441000		15.833333333333334
441900		15.766666666666666
442800		15.699999999999998
443700		15.6
444600		15.5
445500		15.433333333333332
446400		15.4
447300		15.266666666666666
448200		15.1
449100		15.033333333333333
450000		15.0
450900		14.933333333333332
451800		14.966666666666667
452700		15.0
453600		14.9
454500		14.9
455400		14.9
456300		14.9
457200		14.966666666666667
458100		14.9
459000		14.95
459900		15.0
460800		14.9
461700		14.9
462600		15.066666666666668
463500		15.233333333333334
464400		15.300000000000002
465300		15.233333333333334
466200		15.133333333333333
467100		15.1
468000		15.1
468900		15.033333333333333
469800		15.066666666666668
470700		15.266666666666666
471600		15.733333333333334
472500		15.6
473400		15.333333333333334
474300		15.1
475200		14.933333333333332
476100		14.833333333333334
477000		14.933333333333332
477900		15.133333333333335
478800		15.633333333333335
479700		15.933333333333332
480600		16.233333333333334
481500		16.366666666666667
482400		16.633333333333336
483300		16.933333333333334
484200		17.166666666666668
485100	17.633333333333336
486000		17.833333333333332
486900		17.833333333333332
487800		17.666666666666668
488700		17.5
489600		17.5
490500		17.533333333333335
491400		17.866666666666664
492300		18.033333333333335
493200		18.0
494100		17.975
495000		18.15
495900		18.233333333333334
496800		18.266666666666666
497700		18.066666666666666
